"Title","Canadian Total Exports"
"Industries","NAICS 3345 - Navigational, Measuring, Medical and Control Instruments Manufacturing"
"","NAICS 3346 - Manufacturing and Reproducing Magnetic and Optical Media"
"Origin","Canada"
"Destination","All Countries (Detailed)"
"Period","Latest 10 years"
"Units","Value in  Canadian dollars"

"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Georgia","270","8559","5","","606","","43162","11","18801","7765"
"Zambia (Zambi)","1136","","1230","132","372","356","561","11954","245","7387"
"Macau (Macao)","83584","31862","4212","6142","10","25323","11794","275","196","7153"
"Nigeria","22127","91124","32112","260389","5430","100680","31566","90501","65298","6451"
"Haiti","4286","20631","12","38472","306","6279","6815","22056","27207","5942"
"New Caledonia","47571","7089","21035","2061","2258","80","","","928","5913"
"Croatia","53282","55660","78452","37660","15828","97350","57571","8057","16013","5583"
"Bolivia","9498","10840","13173","36046","17998","5493","4486","3561","67628","5343"
"Bermuda","110041","97032","146366","4681","29630","69794","21979","31773","96","4876"
"Guam","1867","2785","22527","17536","","2514","3200","386","11377","3905"
"Brunei Darussalam","7403","14646","35","18891","44531","105708","100864","52871","51123","3618"
"Sint Maarten","","","","","","","","66","1583","2942"
"Côte-d'Ivoire","1472","5523","","16275","20","650","6069","60765","3028","2803"
"Dominica","3514","1304","","","1380","50283","","6982","675","2331"
"Swaziland","2537","836","15347","","17012","10739","5417","9004","","2073"
"Azerbaijan","49069","10711","35","40","1033","40","1128","91412","8178","2045"
"Mauritius","717","5300","","9933","39177","65","11995","4066","638","1937"
"Ghana","12702","9000","9018","15269","21182","4199","20267","15856","27555","1469"
"Guyana","2028","6","32","4128","1846","8992","5529","4241","7447","1407"
"Burkina Faso","66","2220","","10286","1175","22492","4458","857598","5259","1334"
"Aruba","22814","8386","3917","28","14394","697","1016","6077","76","1253"
"Tanzania","15683","14393","65227","59954","1912","22083","10087","13006","7126","1193"
"British Virgin Islands","32095","4729","5938","2860","3698","604","233","","189","1024"
"Bonaire, Sint Eustatius and Saba","","","","","","","","","","774"
"Saint Lucia","10813","28064","7367","","1329","7027","30599","1912","157","673"
"Cayman Islands","78498","40370","5220","14634","1329","81","4193","489","5834","670"
"Saint Pierre-Miquelon","9049","50000","9000","72","5101","1142","3359","","2853","579"
"Niger","","4875","83969","","1600","2610","262080","","","563"
"Iran","368644","28912","19088","16788","27931","2540","","","2744","464"
"Belize","13621","904","","10512","790","","3554","112","2025","435"
"U.S. Minor Outlying Islands","10794","1042","1995","1992","","","","44","4710","380"
"Chad","12216","","60","","85","2239","25348","94","206","329"
"Saint Kitts and Nevis","10535","","220","2010","3370","","1055","4404","","301"
"Antigua and Barbuda","28941","2920","4","","8438","1493","56","1750","691","247"
"Namibia","17823","","","","1462","4431","","7103","2104","211"
"Tunisia","708965","12121","13099","3878","30244","15352","14812","17987","3430","206"
"Botswana","39468","","","","","5382","5459","1458","31","126"
"Mauritania","","","","20360","","24635","12310","","","116"
"Saint Vincent and the Grenadines","26878","1190","1702","","","2","233","","2459","66"
"Turks and Caicos Islands","5383","50","644","5764","","41","42","","450","54"
"Libya","5374","52115","23556","16668","","10897","44425","9308","296016","53"
"Armenia","38","637","50119","3068","40","3427","60","21407","","28"
"Laos","4325","","2202","744","","20","2548","","3768","19"
"Malta","4722","4634","","5932","","4617","207","","25633",""
"Eritrea","","8245","","1225","","2531","","11728","13306",""
"Cambodia (Kampuchea)","1","4030","9023","","44801","","1941","3693","11847",""
"Nepal","","19958","29526","19818","","24037","1574632","","6223",""
"Fiji","4387","","","564","","1521","","","6064",""
"Gabon","5974","14623","2325","","6353","","7767","","5118",""
"Faeroe Islands","2100","","8046","","","675","","","4500",""
"Bahamas","76939","134139","20696","17838","12383","16811","56983","523","2972",""
"Cape Verde","","","","","","","","","2578",""
"Uganda","49055","3566","32607","20732","2254","3974","2249","515","2231",""
"Greenland","316388","252094","161758","59793","12349","","","55","1385",""
"Grenada","75727","26242","20407","3624","3971","1325","","","1350",""
"Rwanda","","","11671","78","","41242","","","720",""
"Falkland Islands","","","","","","","","","557",""
"Heard and McDonald Island","","","","","","","","","199",""
"Andorra","","","","","","","","","165",""
"Curacao","","","","","","","","516","78",""
"Turkmenistan","1158","","","","104896","57491","389999","272778","",""
"Equatorial Guinea","1023","","136","","10","","","63218","",""
"Afghanistan","86293","84015","8354","6334","1183","46","314","34766","",""
"Seychelles","","","","","12974","25408","59513","23736","",""
"Congo (formerly Zaire)","12036","7924","13125","44437","1471","3776","12348","16942","",""
"Congo (formerly Brazzaville)","15133","41937","9694","4723","17302","5639","680","14904","",""
"Moldova","3970","","656849","","","64489","","3180","",""
"Montserrat","","","","","","","1510","2585","",""
"Vanuatu (New Hebrides)","","40","","","","","","868","",""
"French Polynesia","20072","20110","20666","5342","1482","","","475","",""
"Djibouti","","","","","","","12070","421","",""
"Papua New Guinea","3752","6668","17100","2057","","16357","1662","280","",""
"Uzbekistan","","","","","21399","","","128","",""
"Antartica","","","","","3049","","","94","",""
"Anguilla","5642","550","4310","","","","50","6","",""
"Belarus (formerly Byelorussia)","4960","42520","","6464","10748","","","5","",""
"Gibraltar","87365","49436","16247","","3772","5922","2107","","",""
"British Indian Ocean Territories","","1760","233","","","","1147","","",""
"Netherlands Antilles","14502","11003","36923","12396","415962","4794","671","","",""
"Montenegro","","","2185","","","468","164","","",""
"Zimbabwe","409","492","53049","8782","700","","26","","",""
"Maldives","3624","","2613","","10468","1687","","","",""
"Solomon Islands","","","","","","1565","","","",""
"Syria","31924","6213","15","2811","3279","1112","","","",""
"Togo","775","","","","","630","","","",""
"Sierra Leone","6372","24","73","15720","","389","","","",""
"Mozambique","","","","20","49","20","","","",""
"Malawi","","","","","","10","","","",""
"Korea, North","40450","31834","6965","7699","1","","","","",""
"Tajikistan","","","","12630","","","","","",""
"American Samoa","","","","4946","","","","","",""
"Bhutan","","4820","","942","","","","","",""
"Samoa (Western)","","","","228","","","","","",""
"Liberia","","6","","204","","","","","",""
"Benin","2841","12536","","20","","","","","",""
"Burundi","","8000","","","","","","","",""
"Pitcairn Island","","2573","","","","","","","",""
"Kiribati","65","","","","","","","","",""
"Cocos (Keeling) Islands","6","","","","","","","","",""
"Comoros","3","","","","","","","","",""
"Sub-Total","479589096","410003409","357070720","350188641","300236843","280691709","231257668","232590814","327085858","297613614"
"Total All Countries","4713918231","4875700925","4281869649","4193569357","4438713474","4581214056","4677321130","5069695132","6061197678","6174785803"

"Source: Trade Data Online (accessed: September 26, 2017)"



