"Title","Canadian Total Exports"
"Industries","NAICS 3345 - Navigational, Measuring, Medical and Control Instruments Manufacturing"
"","NAICS 3346 - Manufacturing and Reproducing Magnetic and Optical Media"
"Origin","Canada"
"Destination","All Countries (Detailed)"
"Period","Latest 10 years"
"Units","Value in  Canadian dollars"

"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Bolivia","569278","326039","1112022","712242","957112","5229110","1073460","1382299","3374863","2431875"
"Romania","2618349","3320733","5609525","6040315","2791268","3106590","3766366","2575482","3586612","2395307"
"Algeria","6658755","7799040","546056","927078","5799644","4062232","3330689","1913362","1843205","2323477"
"Venezuela","12103158","9964177","2921066","5096340","8824764","8043362","17987977","9221185","4564023","2116409"
"Slovenia","3661800","1328816","2045283","639686","460171","545459","685371","1053204","1572590","2056327"
"Uruguay","770240","616949","672335","1605044","811950","2414378","1095240","1867268","2351742","1923878"
"Luxembourg","1084987","669549","2451883","316780","398342","367466","447970","1012434","640572","1913239"
"Morocco","1022355","1475844","1522361","1621285","3003740","2418087","1445832","2027652","2161867","1856701"
"Nigeria","3025375","2334960","6242746","2758918","3081196","6013067","5377046","3804969","4478300","1854909"
"Dominican Republic","587795","1473986","769279","2437367","2621367","1899224","2896443","2376254","1626351","1846574"
"Panama","1294639","1443310","2702277","1395224","2152885","868337","1573867","1357738","657430","1794431"
"Iraq","6758968","4275809","3726905","3788491","2975739","3098254","9382705","4377358","2333753","1762477"
"Turkmenistan","1500890","1310328","193815","655591","2427267","2460816","630914","975456","483599","1752525"
"Portugal","3654345","4094401","2521021","3012557","1876981","1448743","4208930","3188372","1489469","1748416"
"Mozambique","194260","256486","105533","282400","364950","191033","139259","651153","267841","1718107"
"Lithuania","2235526","1206695","624819","748331","1685264","1972349","3306808","1439162","5799105","1705601"
"Bulgaria","582669","844991","760507","1331048","371710","381752","573433","629738","1508163","1660936"
"Ethiopia","252011","356470","1760493","346494","1212068","737496","1029617","1661829","1045990","1624998"
"Croatia","2132222","2007271","1547596","1011145","685507","763547","2019058","2163449","2641828","1542712"
"Guatemala","738804","597377","477586","871359","1830954","1806655","1422914","1013470","1051867","1441854"
"Barbados","558185","1214042","1715474","579512","687000","345475","1363468","1096829","391921","1381619"
"Sri Lanka","905580","6214547","603347","444524","380383","1374012","417814","784338","891659","1319454"
"Kenya","871336","1346743","1034436","3061884","1155492","1937213","1626510","1879616","2503195","1303750"
"Jamaica","919882","824846","580131","379679","852488","1312987","700672","2549165","561667","1150430"
"Jordan","845958","1112378","1989908","772631","655178","1513333","677888","1308092","1375548","1131326"
"Ghana","269364","851144","805583","1657002","892126","1031771","1191170","375822","841791","1051624"
"Greenland","102173","56291","1709396","180755","911804","1097080","656350","1069828","619031","997483"
"Slovakia","1070328","1631071","1200073","1052003","865221","1477313","1538948","1269989","2772000","967935"
"Angola","1533206","1416468","1653960","591373","1002200","1345427","318773","1141842","850120","921326"
"Myanmar (Burma)","","","29386","2567","651937","47956","341990","1286377","2170674","878561"
"Honduras","253820","297327","498225","1087642","659021","403901","443899","2620456","476784","872143"
"Tanzania","2032115","2629288","904660","391721","564432","948246","1870082","711022","722805","823418"
"Greece","4127199","3521796","3716519","2113768","4065938","1277687","1166250","2344343","1852380","814130"
"Côte-d'Ivoire","366205","829833","213627","104273","27114","239276","347293","1609473","624838","807256"
"Tunisia","1232025","1061577","4778267","978263","1994523","1641098","7709523","966281","626640","783620"
"Suriname","87589","203313","84713","1831277","73932","153155","685770","454089","1005068","757292"
"Mauritius","99279","952354","422379","283224","189552","306727","505839","479911","547218","751688"
"El Salvador","453007","8409618","5861130","1267831","609908","367127","634377","1047799","2291468","748771"
"Mongolia","994571","1127248","290052","1499700","3210522","2642306","1318276","281212","262480","741878"
"Serbia","265119","492012","218961","396829","585591","1014629","1086669","1426401","1065175","732211"
"Macedonia","47745","23829","46510","69951","142739","17652","66099","51031","127500","701253"
"Maldives","775","20056","66436","91127","99724","76386","370918","310611","573211","678512"
"Malta","171387","92557","122229","324270","346699","245862","276780","570849","204289","665776"
"Albania","533836","812585","1201660","1357612","1106622","1727794","2615378","2327296","335994","609720"
"Bahrain","1154246","847555","893218","866574","1724252","2031097","1483231","780116","2591766","597065"
"Laos","94154","256153","342130","265984","209427","363467","213102","199975","145301","580836"
"Dominica","208244","75500","160077","93","39186","7060","14104","33877","35395","523186"
"Burkina Faso","346504","537027","571331","1159452","756800","785111","571058","679850","356943","495107"
"Belarus (formerly Byelorussia)","686902","1465009","4402","35424","40309","60557","342558","975275","796270","477199"
"Guyana","212104","135393","130870","446896","1087677","441137","203420","215626","181455","451907"
"Uganda","140802","1125537","1010257","1156580","279513","1207011","403956","574201","1423630","421392"
"Fiji","106177","15511","42000","70283","50377","410165","21204","28763","181584","415121"
"Aruba","41128","505333","764543","471592","239630","248374","424918","63699","386152","399975"
"Nepal","","68023","98919","10368","47897","235636","312917","460514","1035697","383172"
"Nicaragua","794856","178683","238172","106067","369044","280990","231048","176368","549440","367925"
"Libya","4162569","13085591","6277544","17512194","380643","5624141","2217372","1613342","546153","357658"
"Faeroe Islands","147168","51666","53030","214586","25412","88577","55346","425964","51875","356579"
