"Title","Canadian Total Exports"
"Industries","NAICS 3341 - Computer and Peripheral Equipment Manufacturing"
"","NAICS 3342 - Communications Equipment Manufacturing"
"Origin","Canada"
"Destination","All Countries (Detailed)"
"Period","Latest 10 years"
"Units","Value in  Canadian dollars"

"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Swaziland","12257","28264","85208","121316","14454","4236","15747","170979","53112","461549"
"Tunisia","2648083","838541","830128","1064972","391242","1165286","904450","418170","412097","460209"
"Saint Lucia","387604","382061","138130","25544","50539","27385","89963","62958","249568","447500"
"Paraguay","403807","96359","15082","270435","45094","29098","61413","158432","1448115","445827"
"Madagascar","1604832","1242094","1936221","1391022","1547900","568939","283424","141081","317240","431734"
"Saint Kitts and Nevis","460265","462690","153491","38857","117196","58728","87234","2588149","169128","429085"
"Suriname","81288","56166","251649","449234","827","58607","47277","54692","302103","387898"
"Antigua and Barbuda","689308","394337","86169","167749","60269","49717","48739","251743","181379","374734"
"Côte-d'Ivoire","1881","91688","244326","70674","48025","71311","399770","694514","72216","364709"
"Guam","493224","642644","125281","269043","148096","72462","124196","382529","69450","341497"
"Azerbaijan","815403","54613","25006","20950","1484364","1444250","839742","369331","477538","323342"
"Moldova","","19938","26194","9725","46349","22843","55327","606532","364179","321054"
"Macedonia","","3044","68349","150446","16277","158791","244420","311851","341319","319979"
"Guatemala","7297177","3150325","640609","650984","395427","710805","790406","801406","1184516","306885"
"Sint Maarten","","","","","","","","233839","392631","306785"
"Sri Lanka","1708837","501050","290763","88800","497632","434670","565828","855588","663907","301458"
"Ghana","247647","55738","264966","219821","163688","452616","272953","277446","271604","296516"
"Djibouti","42636","27030","12765","371223","10465","5280","229202","350515","47218","291971"
"Belize","356558","326474","321280","67032","145370","192937","439671","38097","309785","265418"
"Papua New Guinea","489270","90897","348858","15059","814733","883098","309196","580448","378317","256267"
"Ethiopia","23765","241663","134493","5075","56023","91321","216931","89606","1362879","253176"
"Nigeria","2648801","1983557","2959956","5581421","3924793","2530383","3817638","3788607","1034526","244821"
"Nicaragua","412407","222242","60834","49969","44031","206369","132396","195403","113650","244814"
"Aruba","499636","350358","23517","238184","295781","201485","338360","373933","211773","223852"
"Curacao","","","","","","","","428341","42856","214915"
"Comoros","","574","","4759","92549","105955","4411","","64520","209872"
"Mali","53556","26479","47528","14490","121264","87131","1148","190152","509004","208843"
"Mozambique","439010","513747","602997","110691","234199","5646","416594","544381","57588","208183"
"Grenada","763908","147417","115368","170","","4049","191379","12862","151449","203632"
"Senegal","267672","603635","116015","110535","107911","55334","109567","152040","34216","201527"
"Zimbabwe","127274","13273","179162","167533","162515","64324","26959","56555","44376","201524"
"Barbados","1963474","492531","509065","634270","461125","230305","218324","183016","209749","197688"
"Angola","8367703","492881","392752","58853","254814","179065","185099","527714","403564","186462"
"Cameroon","1209461","1283801","1887930","37656","99025","237845","301171","145577","31207","174186"
"Mongolia","124340","134141","87315","227145","1797774","1888666","304922","299834","243023","157808"
"Tanzania","362908","514584","380481","109616","242052","1767327","121282","233676","333958","150039"
"Maldives","148065","84387","66173","246198","151454","66351","17154","66137","26948","148529"
"Turkmenistan","753","12956","12287","42364","335252","383674","644824","130897","143403","147924"
"Botswana","1549125","389459","810731","295670","138157","212858","134866","208975","1406534","142897"
"Burkina Faso","19712","77622","63980","71388","229368","438997","350727","192585","347552","132036"
"Guinea","52332","269552","371092","288745","1142122","341487","136037","143254","34072","130801"
"Namibia","39956","75","26568","121460","74060","107008","123808","206091","182363","124091"
"Cayman Islands","1107801","366505","237934","332141","297184","329964","193427","77090","183576","118744"
"Afghanistan","1433842","1507338","1876077","2891494","751866","436266","438147","22302","968819","115734"
"Rwanda","76875","90713","36140","50873","135599","84742","","6442","21425","111236"
"Tajikistan","14438","46877","","","","21065","339752","111310","3283","110900"
"Equatorial Guinea","7956","4337","617004","","77385","19673","540965","6513","65179","108028"
"Mauritius","714810","299140","7315","15854","594786","55868","81500","131516","110040","101885"
"Niger","26119","31806","30909","42585","196993","80399","25384","276315","1048","101458"
"Venezuela","14878960","3656695","4820491","3608076","972142","5751534","3230543","3315147","646930","101370"
"Saint Pierre-Miquelon","42789","44677","1572","50516","32514","96896","33422","135007","125211","99253"
"Iran","889436","230905","454763","2615926","662377","123918","30346","323427","2033","96384"
"Benin","336285","83449","","79543","276231","23784","903","","","95953"
"Zambia (Zambi)","38413","126689","41619","62276","53294","217085","876417","329555","846243","93563"
"Albania","263149","18000","5631","99737","96250","67848","75869","87897","81471","90710"
"Macau (Macao)","2867428","2651144","322195","211342","151173","20585","465553","356140","220051","90322"
"Libya","675858","960234","1329485","4417968","245182","178107","1340409","243365","201997","85346"
"Malta","196789","292932","240135","226899","75445","129344","40121","123408","37622","78843"
"Georgia","70696","280567","47625","168224","103569","257625","934327","244086","67632","74928"
"Turks and Caicos Islands","515906","253839","171943","148626","46141","90800","71496","167620","105488","74255"
"Haiti","322625","8731","29824","41484","62813","77500","18210","1012930","149263","71522"
"Sudan","101491","692838","1052267","790359","1889375","241104","387414","1388277","15658","69215"
"British Virgin Islands","204023","147631","372850","27031","32199","49588","199314","381739","439451","66574"
"U.S. Minor Outlying Islands","60598","71858","74338","96912","36003","47795","38813","17548","31565","63650"
"Saint Vincent and the Grenadines","297565","49671","55821","40574","15824","26789","115530","95917","405327","63258"
"New Caledonia","","212507","3895","9628","19805","80","44716","34386","39689","53823"
"Saint Helena","","12968","","","49744","","30862","","","52477"
"Uganda","88760","538191","166151","374946","466723","180243","168837","305503","225900","50551"
"Seychelles","","","14027","6882","1025216","2852366","13068967","6209793","35394","50546"
"Tonga","15299","53385","48589","7977","4177","","2063","13660","146364","47383"
"Mauritania","86704","169809","24137","74366","185396","391276","423164","16890","19993","46933"
"Bonaire, Sint Eustatius and Saba","","","","","","","","10331","550229","44876"
"Guyana","690623","184820","103683","89925","367438","52537","311305","405248","46880","43030"
"Togo","1560","15638","12482","","22634","36190","28068","3720","5264","42050"
"Cape Verde","","","","2651","","","","","9100","41100"
"French Southern Territories","4998","","","","","","","","","35419"
"Anguilla","262406","316862","82176","14852","40167","4355","5125","57938","43441","32780"
"Lesotho","","","","","","5070","","","","25528"
"Dominica","89706","8213","19214","2790","235","1186683","62060","2673058","22401","23670"
"Sierra Leone","22186","12332","8743","22074","84081","34316","24427","1180","57709","22063"
"Solomon Islands","129431","","6992","","","3711","10815","186823","24903","21225"
"Fiji","171380","29951","85824","25804","226247","158493","848488","25967","25","15840"
"Laos","","27202","28966","149193","7540","36071","103492","8169","83684","15348"
"Kiribati","12079","","","","","","","","19191","14232"
"Bouvet Island","","","","","","","","","","14049"
"Malawi","30764","245066","50389","6919","16716","98668","36349","2150","36336","13321"
"Kyrgyzstan","161625","43820","48487","48610","130469","18198","32579","46416","46806","11801"
"Montserrat","","","3703","","","","3441","","","11501"
"Uzbekistan","80638","","67584","","98166","278822","51629","5032","17353","10450"
"Gabon","196039","42445","168467","4887","554442","143998","384373","306498","26080","9741"
"Nepal","47392","31677","36152","165448","23962","37562","3666","64166","148140","7978"
"Cambodia (Kampuchea)","58754","110044","81410","15373","176231","484873","47922","89418","18485","7817"
"Armenia","9975","75798","271988","68492","44995","57200","16908","220532","244104","7389"
"Somalia","1576","","","16948","50421","24850","46093","260079","16612","6660"
"Cook Islands","3651","","","27128","","","28206","","","6583"
"Christmas Island","","","","43717","","63034","","","","6140"
"Central African Republic","34128","","398383","3452","26640","","","17339","17525","5922"
"Greenland","160036","13913","2297","111582","145803","29825","390243","21987","69552","4612"
"Gambia","3001","","30374","3145","","2292","","33835","","4033"
"Burundi","3915","2049","17533","17600","40602","5326","21856","","","3441"
"Antartica","","","175772","52851","47792","3053","32743","65739","49148","3376"
"Syria","534238","3455016","113328","155548","107251","4713","","","","3242"
"Andorra","","","","","","5440","211","2703","948","3098"
"Faeroe Islands","","","3664","8898","","81295","9147","800","1874","2515"
"South Sudan","","","","","","","","8882","26241","2213"
"Chad","967650","20654","47868","3159","537774","270357","6489076","283015","67586","2083"
"Liberia","230533","480381","115497","158148","158708","111874","666374","79044","123068","1253"
"Montenegro","58688","50491","54224","12151","6795","61","2088","15597","34","329"
"Bhutan","","","83540","509","","","61813","30650","90811",""
"Belarus (formerly Byelorussia)","69383","74825","7164","","582456","","","","29177",""
"Eritrea","","1650","","25415","","","","3189","27344",""
"Vanuatu (New Hebrides)","","32476","593","20343","800","9110","17","4868","24903",""
"Nauru","","2747","9569","","","54987","","","23905",""
"Samoa (Western)","3626","","","97980","","","","","20138",""
"Falkland Islands","","","","31783","52260","","","164686","15571",""
"Gibraltar","","43935","350","","58349","28179","36000","657","787",""
"American Samoa","22215","12096","2338","6179","8547","9475","19010","","110",""
"Yemen","650841","83659","120295","17906","207120","14446","188834","115038","",""
"French Polynesia","292793","22026","12830","144139","60229","85545","14565","59973","",""
"Timor-Leste","50145","487","","4352","4639","","2177","53243","",""
"Netherlands Antilles","966505","659452","567385","425262","556875","450159","336985","","",""
"British Indian Ocean Territories","","","","","","97934","","","",""
"Korea, North","611828","64304","330","10980","23915","309","","","",""
"Niue","","","","","3330","","","","",""
"Guinea-Bissau","6204","","","30812","","","","","",""
"Cocos (Keeling) Islands","16755","","","","","","","","",""
"Sao Tomé-Principe","3373","","","","","","","","",""
"Sub-Total","8209271620","6607353841","5410321430","4921516274","4593635488","4466505030","4145193719","4370263744","4690156619","4678374874"
"Total All Countries","12345579565","10624947447","8590944590","7776861797","7438464609","7097137552","6708621153","7213869658","7862409272","7924774277"

"Source: Trade Data Online (accessed: September 26, 2017)"



