"Title","Canadian Total Exports"
"Industries","NAICS 3341 - Computer and Peripheral Equipment Manufacturing"
"","NAICS 3342 - Communications Equipment Manufacturing"
"Origin","Canada"
"Destination","All Countries (Detailed)"
"Period","Latest 10 years"
"Units","Value in  Canadian dollars"

"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Macau (Macao)","143834","247209","110519","37178","80984","1336815","88810","545775","930217","1352643"
"Mauritius","","25950","57495","15936","392251","55764","50271","161495","83906","1274376"
"Bahrain","317754","421923","357113","815012","969143","524032","432855","714374","1378476","1133571"
"Nigeria","2380730","3537618","2544097","3163324","1992498","1968059","1503529","1503658","893821","1121795"
"Kenya","915171","1574958","664665","959944","1050237","2560172","986555","756773","1939404","1111532"
"Venezuela","3329132","5286630","2485947","2379452","5631489","4687638","1043981","894516","1725681","995302"
"Honduras","1561133","1022974","738032","1358267","1750756","1805833","1688683","746900","2228199","992631"
"Aruba","256923","55137","237981","83004","640653","96453","313467","245626","1197525","933223"
"Sri Lanka","227282","178368","258339","332508","361920","1192503","532990","408075","1337739","928561"
"Costa Rica","2605807","744605","619222","859421","826151","1956807","270704","458792","334009","900775"
"Tanzania","1135878","606531","582834","610615","546404","1429683","1047907","1484781","772469","861879"
"Tunisia","259949","199495","886491","41571","280569","124572","38273","171318","376626","817674"
"Botswana","872349","66389","17441","294417","457919","755353","1422688","726153","819820","775134"
"Kazakhstan","93976","598805","254249","1056811","977560","983199","471851","184975","268496","750821"
"Senegal","93166","527400","157088","502180","304678","663103","252436","155025","156982","717703"
"Namibia","219226","110596","15586","1545064","540365","601469","280248","665150","709726","707078"
"Dominican Republic","706310","961460","1425575","1135682","1549445","1299190","337984","632969","825784","700779"
"Guyana","696260","200373","595578","316563","301889","187721","118289","208697","832909","657074"
"Oman (formerly Muscat and Oman)","413370","441232","456833","1868965","1014492","281920","521596","609533","531780","636494"
"Lebanon","863428","1477035","1339064","1569492","1277759","1884242","1193924","1003393","1313685","598887"
"Iran","931179","459871","666688","625275","762944","204308","49991","58495","6864","596400"
"Iraq","312155","398392","157589","1753009","436096","2392875","920864","674904","373843","564615"
"Serbia","254872","66909","260939","422296","506404","669386","428359","183446","414344","529346"
"Slovenia","539008","825295","466490","497317","762969","414375","183162","724771","79438","524169"
"Antigua and Barbuda","476525","53630","626597","212352","198808","678530","179102","624109","459617","507744"
"Georgia","212969","41118","10835","9398","59057","335897","872857","138020","374460","468304"
"Uruguay","294704","726836","727998","289485","153207","352075","572016","254516","1089199","467867"
"Bolivia","535301","203304","613713","353830","457744","141693","178280","384297","468312","435777"
"Curacao","","","","","","","","256800","192188","435098"
"Nicaragua","71754","218529","227989","87976","697152","201605","255664","130056","48228","430069"
"El Salvador","435869","774859","159901","364361","1259161","369321","224469","394794","261777","387670"
"Ukraine","362559","237947","197718","375756","1912640","1582073","1051479","61657","254967","380462"
"Burkina Faso","316559","436413","581275","633782","363130","845155","452906","282343","381331","372760"
"Suriname","30932","178805","22454","82925","367364","257593","527539","274500","327915","370499"
"Guatemala","3468934","90197","221814","1024957","2716629","768517","416041","278663","468911","363554"
"Mali","305854","127614","211185","216790","423400","203975","87038","36308","293073","356321"
"Bermuda","822426","937679","932895","407111","216942","248850","688769","583962","491123","353205"
"Estonia","1349416","405039","669298","276721","213254","606305","227895","673984","638448","345056"
"Croatia","522412","702780","431806","375643","425296","244013","216189","50806","94837","315676"
"Bosnia-Hercegovina","998","92057","89198","58851","42691","167185","63562","129851","379434","314342"
"Laos","5318","18508","82321","70588","11660","2580","5783","11481","3303","313956"
"Nepal","4829","5545","90899","85888","","11193","","6021","450470","312045"
"Lithuania","1426006","1030005","649347","1172458","498369","769887","1389454","596783","371713","308888"
"Saint Lucia","427748","123095","99016","134106","215202","158961","155375","225858","93056","303294"
"Côte-d'Ivoire","25577","235577","150959","32696","12823","185555","587451","313415","260999","300805"
"Malta","1101390","305805","239031","529275","100512","182832","241940","132337","28706","297153"
"Togo","513672","197641","348440","210265","292377","180921","151495","225229","553248","296157"
"Portugal","3316493","2725896","2824827","5128500","3047332","1597764","1284427","419504","882371","273437"
"Cayman Islands","253058","333192","73230","317298","423821","315482","322807","475589","308773","270976"
"Luxembourg","62779","395048","254132","496184","944592","6393447","1197880","2145166","652793","267636"
"Cyprus","1067448","847437","634667","174754","277501","212700","42433","124350","95416","267183"
"Zimbabwe","11440","37476","113272","25441","51970","3075","417739","5003","155668","264140"
"Fiji","4213","21233","23780","28232","","114479","3807","23212","14296","263493"
"Cambodia (Kampuchea)","149228","9275","402183","128237","308428","2229","111884","194993","7000","261761"
"Mauritania","10668","12480","123626","66233","312995","420964","396710","15572","142366","212699"
"Sint Maarten","","","","","","","","96365","223867","197388"
"Azerbaijan","190751","21009","137040","216702","47805","111785","242852","3647340","506960","196683"
"Albania","114464","128538","36743","80927","152709","315091","83141","167484","162493","193674"
"Swaziland","65109","262941","1305059","27902","40800","139981","131237","94538","287830","193421"
"Ethiopia","345255","180208","113230","123490","72560","187815","218077","351006","163258","193177"
"Rwanda","57405","102398","251857","19975","","39075","8063","50302","2639","188458"
"Slovakia","2772775","2230877","1414963","706504","28368419","30259122","341254","3258770","442415","180824"
"Latvia","307625","7672211","69779","28852","5277","251899","66347","69006","94253","180502"
