"Title","Canadian Total Exports"
"Industries","NAICS 3343 - Audio and Video Equipment Manufacturing"
"","NAICS 3344 - Semiconductor and Other Electronic Component Manufacturing"
"Origin","Canada"
"Destination","All Countries (Detailed)"
"Period","Latest 10 years"
"Units","Value in  Canadian dollars"

"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Slovakia","31906","39417","15486","494196","1695842","174953","89141","86983","440026","105586"
"Serbia","39712","6345","9863","68534","1916","3684","9796","17902","34738","104544"
"Portugal","81438","338860","145186","92325","188259","78462","880642","201798","1253312","100003"
"Saint Kitts and Nevis","16464","11543","136611","9652","17883","41200","16557","24153","48036","90035"
"El Salvador","89451","126678","219564","906","625","40086","63660","140782","155599","89729"
"Trinidad and Tobago","283124","88263","163661","62942","950233","72600","70997","56882","264075","87071"
"Hungary","50060","83852","1850117","2057622","3132514","2090813","566230","59507","577393","81872"
"Togo","34987","5500","7336","15015","22027","","3000","","","81769"
"Sri Lanka","969","7057","22038","149441","120032","278617","83468","32141","69352","81457"
"Congo (formerly Brazzaville)","77350","15075","19256","9392","46043","6945","","5467","3152","79256"
"Bangladesh","","14107","","5975","8233","2025","6453","500","99000","78291"
"Cayman Islands","8948","70106","99427","109402","71518","62806","19526","66501","34888","76956"
"Ecuador","3437","23615","242593","132954","235058","1960544","110563","939687","77523","76659"
"Latvia","50583","206306","14743","47746","16623","66392","120898","56551","91994","75470"
"Namibia","6298","3286","","","403","5130","10126","45785","103037","74986"
"Saint Lucia","1840","158251","35441","16604","837","5421","4897","131362","10436","58506"
"Croatia","38409","210346","47047","1273538","118070","28779","4557","15121","22156","54273"
"Iceland","139766","40697","31162","23224","27172","27267","11185","2265","7116","51924"
"Guatemala","693850","615912","357339","258803","252664","158875","562773","45624","71748","48715"
"Georgia","44716","29915","3600","","12470","993","","102664","584076","47875"
"Mali","17712","","3100","2000","8667","22863","28093","64860","18823","47213"
"Guyana","22414","15398","35247","8913","18079","21736","11482","89057","17181","45802"
"Estonia","78431","15696","185836","7826","2068","20633","4845","1038501","39095","40877"
"Swaziland","","102291","5800","847","10714","374","","","27110","40015"
"Turks and Caicos Islands","280936","163006","15051","20860","8447","8809","3163","12923","18866","39575"
"Lithuania","5125","37416","13555","1708","1017248","23564","93178","66960","22090","39401"
"Senegal","6063","20848","1940","6080","84468","77134","111362","223865","177898","38480"
"Ghana","49444","281246","60778","32095","36770","91713","39458","38811","255669","35815"
"Antigua and Barbuda","7710","","24803","5882","7051","105287","","69106","2891","35603"
"Tunisia","79571","192243","49423","1465","153","466","225181","34673","28628","34088"
"Slovenia","88489","40401","29466","3936","15137","315","22962","26196","6966","31840"
"Aruba","","100905","367","19081","28863","818","800","3543","13482","30888"
"Afghanistan","145417","66884","87870","57667","36063","10830","9012","167","3080","27184"
"Curacao","","","","","","","","21358","807703","27156"
"Côte-d'Ivoire","142","8120","244388","3253","24090","1018","2220","4580","259","23605"
"Mauritania","","7225","","4777","231","19802","1507","4200","5661","23304"
"Kazakhstan","14075","50140","68209","979905","79155","1003265","163383","30646","15030","22710"
"Venezuela","3304738","214848","933851","387428","1107513","11895869","1352451","460795","9173","22414"
"Tanzania","74801","52514","8638","254023","200","50785","2313","4112","5443","21410"
"Morocco","163040","624243","26551","28151","1374679","55471","7898","39757","62629","21004"
"Bahamas","96832","32174","33690","16224","20325","15015","65618","6745","125457","18653"
"Fiji","","","","","","525","","7580","","18367"
"Burundi","","2300","4268","","610","","4110","4500","","16842"
"French Polynesia","","","711","","","","173355","9824","","16355"
"Luxembourg","3093","1381","134686","","49302","77000","17471","1006089","849653","15699"
"Suriname","","1200","","","","2967","1430","","2340","15364"
"Cambodia (Kampuchea)","13294","","15297","","75148","8699","1310","2635","2000","15353"
"Cyprus","16042","23136","25117","106896","36498","38325","29325","13863","12044","14473"
"Botswana","82296","","46571","3708","","","2958","51066","8696","13670"
"Faeroe Islands","","11191","","1043","","1645","","","","12500"
"Honduras","110610","87116","1400","22696","14981","37290","57247","32603","52702","12152"
"Bolivia","6569","15529","66261","47401","25378","","1473","20653","67879","12151"
"Brunei Darussalam","","39477","7911","63241","28496","18642","42501","23309","","11587"
"Haiti","17997","49981","556","27733","25978","4518","8569","3611","43786","11322"
"Congo (formerly Zaire)","1000","1169960","5145","215","718","","1","158466","18607","11141"
"Djibouti","90","","500","","","","","53000","8701","10900"
"Guinea","71920","6000","11463","1433","565","300","10141","","479","9801"
"Zambia (Zambi)","14578","139065","3179","","","","69044","20369","52792","9465"
"Iran","7516","1599","30","55976","203227","16000","","276","971","9267"
"Burkina Faso","12729","7573","13455","24763","92216","35609","7617","3710","13406","7950"
"Malawi","","15112","","","","","","","","7699"
"Mauritius","2553","6785","","","","44865","2135","2189","15580","6207"
"Madagascar","11551","940201","69548","8800","127093","","","","17102","5708"
"Uruguay","217051","88297","123373","8511","28146","16913","22996","31958","124938","4928"
"Nepal","4874","2555","13860","8368","","","","23625","142272","4750"
"Nicaragua","39947","120000","132","","23582","9905","15294","6648","9495","4652"
"Liberia","198700","564","715","","913","","37558","45","21041","4471"
"U.S. Minor Outlying Islands","3524","26816","32988","72199","88662","36706","33051","","8309","3695"
"Belize","14578","2445","5133","2009","2199","21833","912","1902","18144","2834"
"Heard and McDonald Island","","","","","","","","","","2600"
"Antartica","","","","","","","","561","458","2533"
"Papua New Guinea","","","","688","","","","11500","","2236"
"Iraq","39949","99258","51031","7197","18398","61651","74731","129794","12222","1920"
"Laos","","","3612","","","","","66979","","1871"
"New Caledonia","3738","7493","","","","2123","367","418","","1573"
"Uganda","8265","308716","20880","12481","25515","3893","10857","574","40471","1569"
"Montserrat","","","","","","","","","","1553"
"Azerbaijan","1493","","","","591","8093","308594","1999731","80705","1418"
"Libya","15990","22008","24849","2152","","3643","","2786","21579","1206"
"Greenland","18","","276","23644","113736","42916","33784","4364","","1179"
"Cameroon","645818","431014","20176","27014","5617","770","3000","2882","5027","1133"
"Niger","620","","4188","","13004","761","","4600","","1100"
"Macau (Macao)","984427","712626","21511","18962","21333","28842","9116","7838","70646","987"
"British Virgin Islands","167671","3788","23683","13917","49797","23916","12077","27450","44279","929"
"Bosnia-Hercegovina","","5517","","","496","178","","","15932","717"
"Malta","206","53605","2020","3029","105036","189","","7495","8623","300"
"Timor-Leste","","","","","","","179","","","230"
"Saint Vincent and the Grenadines","587","1016","6911","3078","14684","2986","8684","21842","","88"
"Angola","33402","50928","22095","23798","440549","14773","9000","27282","1909272",""
"Zimbabwe","2923","12849","21881","","9687","80234","1749","112","130942",""
"Anguilla","","","","","","","","9443","45970",""
"Sint Maarten","","","","","","","","","26370",""
"Bonaire, Sint Eustatius and Saba","","","","","","","","","16446",""
"Sierra Leone","250","","","994","4521","2287","2288","","10670",""
"Gabon","25270","3126","2818","321","23831","1094","3084","5472","9445",""
"Central African Republic","","","400","","","","","","8837",""
