"Title","Canadian Total Exports"
"Industries","NAICS 3343 - Audio and Video Equipment Manufacturing"
"","NAICS 3344 - Semiconductor and Other Electronic Component Manufacturing"
"Origin","Canada"
"Destination","All Countries (Detailed)"
"Period","Latest 10 years"
"Units","Value in  Canadian dollars"

"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Sierra Leone","10890","","","645","15772","8593","5386","196","27","5476"
"Kenya","110360","42975","250483","71457","12286","3384","91920","33112","18737","4988"
"Saint Lucia","187720","59909","11785","4746","9358","7400","19214","4031","5973","4853"
"Turks and Caicos Islands","63423","8126","24303","4253","558","11318","7657","14088","55777","4717"
"Mauritius","702","5140","4608","4207","30882","3569","5686","3625","12371","4487"
"U.S. Minor Outlying Islands","6626","27464","11820","129029","4489","16209","325","","18478","4273"
"Armenia","","697","18635","2920","2697","52","9406","11994","35093","3980"
"Guam","28140","12365","16138","6171","1275","2353","15925","9587","4090","3630"
"Bonaire, Sint Eustatius and Saba","","","","","","","","10","11","2956"
"Djibouti","6000","","","1209","","","1126","2610","1520","2291"
"Bosnia-Hercegovina","1622","14331","2857","1422","10176","5351","714","42571","1712","2239"
"Maldives","14990","37362","9739","36348","78751","12650","61528","3777","5803","2127"
"British Virgin Islands","15100","6671","75951","28408","9574","2934","14033","77031","281866","2101"
"Bhutan","","","","169","","","","","6","1750"
"Congo (formerly Zaire)","13898","1158029","4375","59166","9973","21860","","7303","2100","1501"
"Liberia","287338","157","17507","936180","5991","13057","18147","850","700","1473"
"Equatorial Guinea","","582","2273","","12377","3139960","465799","31","3884","1390"
"Benin","123","60","3636","12641","2657","","609","","240","1200"
"Turkmenistan","15753","8503","10062","46210","53436","32278","9210","98","48802","1119"
"Macedonia","22446","","","2495","188","1157","92","12867","10331","1086"
"Albania","23662","61863","16512","2403","28457","42474","117101","40106","8403","1071"
"Christmas Island","","","","","","","","","","1023"
"Seychelles","2","","","","488","4688","6608","7056","","941"
"Uganda","40304","67528","257","1161","2534","24468","29270","30986","3285","856"
"Myanmar (Burma)","","","","","","1614671","","14536","306664","483"
"Nepal","2447","","10315","38680","","1812","","10403","3117","427"
"Zimbabwe","4707","628","1649","2386","15287","779","817","457","2390","411"
"Dominica","11204","3946","3508","10078","501","4813","8477","599","1309","411"
"Cambodia (Kampuchea)","983","144017","1284","143933","5891","","","3045","97","263"
"Libya","104053","398646","6643294","3007511","244058","362061","264146","3708","7004","258"
"Swaziland","30293","6796","7208","22204","36433","","33448","86475","136","253"
"Grenada","40591","16460","20040","3270","4876","1180","14690","","4386","236"
"Kyrgyzstan","22896","55130","9106","13171","7682","32555","2820","25001","2255","217"
"Timor-Leste","","20000","20138","","","","","","3020","98"
"French Polynesia","6901","2572","729","3960","21128","39612","10084","12311","5048","48"
"Andorra","","","","2010","","3900","5","31","11","33"
"Chad","19898","","","","959","18066","190653","30964","4646","7"
"New Caledonia","11290","9143","","1218","165","148","148932","40116","46718",""
"Faeroe Islands","","","407","808","2282","2248","","600","24542",""
"Norfolk Island","","","","","","","","","9101",""
"South Sudan","","","","","","","","85","5920",""
"Sudan","144546","20885","132869","50423","36891","50689","109161","27072","3270",""
"Afghanistan","18081","54856","125259","95333","5387","1426","6880","19299","1687",""
"Cape Verde","","","","","","","","10500","1195",""
"Greenland","24256","46","6250","","15533","2400","2224","2505","1135",""
"Tajikistan","","","","11106","","3856","","35421","547",""
"Montenegro","","433","151","","54","59094","348","1139","121",""
"Laos","4697","495","11317","","","64723","","","111",""
"Gibraltar","","285","","","692","","4000","4591","21",""
"Uzbekistan","52338","","4782","6610","4434","","5361","5834","17",""
"Saint Helena","","1441","","","","","","17641","",""
"Nauru","","","","","","","","14938","",""
"Yemen","1818630","333001","422740","4087","21451","","4758","9472","",""
"Niger","14281","1211","4220","21228","2162","34052","1347","1150","",""
"Gambia","337","","5391","2136","5384","","","264","",""
"Netherlands Antilles","119808","17160","28176","28069","36370","44322","34167","","",""
"Somalia","","","","938","242","","7978","","",""
"Moldova","41239","152746","27357","34171","25224","5850","4939","","",""
"Montserrat","","","411","","","","384","","",""
"British Indian Ocean Territories","","","","","","16356","","","",""
"Tonga","13056","540","931","3475","","345","","","",""
"Eritrea","","1457","2342","1935","14633","7","","","",""
"Korea, North","213944","70483","17725","213256","9972","6","","","",""
"Solomon Islands","","","61000","27862","6505","","","","",""
"Burundi","","4400","","","303","","","","",""
"Cook Islands","","","","1619","","","","","",""
"French Southern Territories","555","58915","","1179","","","","","",""
"Samoa (Western)","403","","","421","","","","","",""
"Central African Republic","","","1925","384","","","","","",""
"Falkland Islands","","","8000","143","","","","","",""
"American Samoa","2135","","184","","","","","","",""
"Kiribati","922","4000","","","","","","","",""
"Sub-Total","3248161406","3675776634","2954764358","2311620148","2605203025","2442121797","2312748003","2333175935","2340717343","2209767482"
"Total All Countries","3889132949","4363861391","3827117116","3092044749","3383688613","3266620823","3198584561","3065259391","3375862088","3096275768"

"Source: Trade Data Online (accessed: September 26, 2017)"



